bv_id,page,tyc2_id,label,ra_deg,de_deg,x,y,z,vt_mag,bt_mag,bv_color,gl_deg,gb_deg,gx,gy,gz,hip,plx_mas,e_plx_mas,dist_pc,dist_ly,dist_ly_naive,dist_quality,px_ly,py_ly,pz_ly,gx_ly,gy_ly,gz_ly,uid,date,n_view,link,src_x,src_y,src_prox,cid,title,part,token_row
BV1gnWdzSEG4,1,TYC 2686-1753-1,4,309.74798674,30.33426826,0.551872419,-0.663601889,0.505043925,5.794,7.059,1.265,72.116344,-6.725072,0.304972259,0.945133993,-0.117105325,101899,9.21,0.32,108.577,354.132,354.133,good,195.4355,-235.0025,178.8521,108.0004,334.7019,-41.4707,3546753594820775,2025-10-21,14303,//player.bilibili.com/player.html?isOutside=true&aid=115412566024097&bvid=BV1gnWdzSEG4&cid=33276036347&p=1,0.5518148,-0.6636586,999,33276036347,【星尘原创】好想住在被窝里【P75R】,【星尘原创】好想住在被窝里【P75R】,16
BV1qxWRz4E1p,1,TYC 2155-2337-1,9,303.87599338,23.50890841,0.511132236,-0.761333888,0.39889165,5.289,6.464,1.175,63.469044,-6.361536,0.443930841,0.889184108,-0.110801763,99853,1.7,0.34,480.497,1567.171,1918.567,poor,801.0316,-1193.1404,625.1314,695.7155,1393.5035,-173.6453,3546937437457099,2025-10-21,4157,//player.bilibili.com/player.html?isOutside=true&aid=115411290951749&bvid=BV1qxWRz4E1p&cid=25887906137&p=1,0.51104546,-0.7613992,999,25887906137,“想送给你，一首秋天里的歌”【星尘诗岸原创】,“想送给你，一首秋天里的歌”【星尘诗岸原创】,17
BV1bcW1zXEQt,1,TYC 2159-2069-1,59,304.19619486,24.6710989,0.510725841,-0.751617622,0.417408752,5.407,6.491,1.084,64.60669,-5.965535,0.426507372,0.898493168,-0.103930212,99951,7.45,0.27,134.145,437.521,437.794,good,223.4535,-328.8488,182.6253,186.6061,393.11,-45.4717,671367010,2025-10-20,111281,//player.bilibili.com/player.html?isOutside=true&aid=115406727613052&bvid=BV1bcW1zXEQt&cid=33245627319&p=1,0.51063824,-0.7516824,999,33245627319,【星尘原创】“苦涩的茶与死结，找不到解的世界。“ ——《终于我们长大之后》,【星尘原创】“苦涩的茶与死结，找不到解的世界。“ ——《终于我们长大之后》,18
BV1kys3zEE8B,1,TYC 1160-1745-1,4,346.75108748,9.40949244,0.960286819,-0.226098294,0.16348941,4.715,6.566,1.851,84.617838,-45.551087,0.065684457,0.697185677,-0.713875118,114144,9.92,0.29,100.819,328.826,328.787,good,315.7674,-74.347,53.7596,21.5988,229.2529,-234.7408,3494359215376534,2025-10-20,813,//player.bilibili.com/player.html?isOutside=true&aid=115404949160448&bvid=BV1kys3zEE8B&cid=33233178569&p=1,0.9605199,-0.22612596,999,33233178569,【星尘】「どうにかなっちゃいそう！」【NOMELON NOLEMON】,【星尘】「どうにかなっちゃいそう！」【NOMELON NOLEMON】,19
BV1UV4wziEjD,1,TYC 7456-163-1,58,310.34857351,-31.59828712,0.551448917,-0.649129838,-0.523960443,5.926,7.782,1.856,12.129799,-36.072872,0.790223417,0.169839147,-0.588813735,102092,7.2,0.38,138.674,452.293,452.995,good,249.4167,-293.5971,-236.9838,357.4128,76.8171,-266.3165,36395571,2025-10-11,983,//player.bilibili.com/player.html?isOutside=true&aid=115356194706862&bvid=BV1UV4wziEjD&cid=32999278590&p=1,0.5513884,-0.6491911,999,32999278590,【永夜Minus】Lost Umbrella（ロストアンブレラ）/稲葉曇,【永夜Minus】Lost Umbrella（ロストアンブレラ）/稲葉曇,20
BV19VW2zYEBb,1,TYC 2695-4139-1,31,311.55284573,33.97025353,0.550101867,-0.620622672,0.558762414,2.57,3.79,1.22,75.951354,-5.715417,0.241538892,0.965267474,-0.099587485,102488,44.86,0.12,22.292,72.706,72.705,good,39.9958,-45.1231,40.6255,17.5614,70.1809,-7.2406,11116918,2025-10-20,4497,//player.bilibili.com/player.html?isOutside=true&aid=115406006193317&bvid=BV19VW2zYEBb&cid=33240777850&p=1,0.5500369,-0.6206931,999,33240777850,【星尘infinity】天命周兴【SYNTHESIZER V COVER】,【星尘infinity】天命周兴【SYNTHESIZER V COVER】,21
BV1YSsNzDERc,1,TYC 2695-4138-1,16,311.79480577,34.37413032,0.550079125,-0.615342281,0.564594398,5.077,6.613,1.536,76.39437,-5.621387,0.234106332,0.967263751,-0.097954383,102571,7.33,0.24,136.35,444.716,444.961,good,244.6288,-273.6523,251.0839,104.1107,430.1573,-43.5618,13992132,2025-10-19,556,//player.bilibili.com/player.html?isOutside=true&aid=115402113811600&bvid=BV1YSsNzDERc&cid=33222427391&p=1,0.55001915,-0.6153986,999,33222427391,【星尘infinity】苦夏苦【60分钟调声大会调声晒】,【星尘infinity】苦夏苦【60分钟调声大会调声晒】,22
BV1xMsKzBEsA,1,TYC 576-1918-1,4,347.17052046,2.12787808,0.974362896,-0.221897082,0.037129942,5.526,6.561,1.035,78.617317,-51.678014,0.122379665,0.607883697,-0.784538481,114273,12.27,0.68,81.624,266.221,265.816,good,259.3959,-59.0737,9.8848,32.58,161.8314,-208.8607,3546765135448170,2025-10-19,43,//player.bilibili.com/player.html?isOutside=true&aid=115402180925988&bvid=BV1xMsKzBEsA&cid=33222692732&p=1,0.9746051,-0.22192973,999,33222692732,【永夜minus】追光者,【永夜minus】追光者,23
BV1H5sKzeEyo,1,TYC 6919-1471-1,94,306.36178643,-28.66327003,0.520226522,-0.706604273,-0.479661096,5.98,7.261,1.281,14.553689,-32.014848,0.820703492,0.213069024,-0.530139009,100738,6.5,0.78,152.102,496.091,501.779,good,258.0794,-350.5397,-237.9553,407.1432,105.7015,-262.9969,91108419,2025-10-19,399,//player.bilibili.com/player.html?isOutside=true&aid=115401845375082&bvid=BV1H5sKzeEyo&cid=33221248718&p=1,0.520146,-0.706666,999,33221248718,[星尘infinity]言って。 (说吧。)中文填词,Video_1760888016869,24
BV1zisAzQE3A,1,TYC 1625-1053-1,59,301.2895611,19.99106987,0.48806966,-0.803063133,0.341873679,5.209,6.425,1.216,59.185709,-6.230286,0.509231573,0.853759664,-0.108524838,98920,20.34,0.39,49.184,160.417,160.352,good,78.2945,-128.8247,54.8422,81.6892,136.9573,-17.4092,131402988,2025-10-19,392,//player.bilibili.com/player.html?isOutside=true&aid=115399479795298&bvid=BV1zisAzQE3A&cid=33206766249&p=1,0.48796618,-0.803133,999,33206766249,【SV cover 星尘】星尘翻唱《野百合也有春天》孟庭苇版本。,【SV cover 星尘】星尘翻唱《野百合也有春天》孟庭苇版本。,25
BV13bswzBE72,1,TYC 7964-689-1,2,312.7531614,-37.91333149,0.535565794,-0.579307682,-0.614468786,5.661,7.317,1.656,4.677778,-39.059932,0.773900858,0.063324057,-0.630132943,102916,5.55,0.33,179.355,584.976,587.669,good,313.2933,-338.8812,-359.4496,452.7136,37.0431,-368.6128,1396301644,2025-10-19,661,//player.bilibili.com/player.html?isOutside=true&aid=115399949549696&bvid=BV13bswzBE72&cid=33209649811&p=1,0.53549695,-0.57936025,999,33209649811,【星尘Infinity】假面骑士Blade op翻调【Synthesizer V Cover】,【星尘Infinity】假面骑士Blade op翻调【Synthesizer V Cover】,26
BV1J2WxznEea,1,TYC 7460-1609-1,41,310.08261894,-33.43184453,0.537354406,-0.638521908,-0.550944657,5.592,6.92,1.328,9.850102,-36.22729,0.79478741,0.137999466,-0.59098995,102014,13.77,0.32,72.648,236.945,236.86,good,127.3232,-151.2943,-130.5434,188.3206,32.6982,-140.0319,523560808,2025-10-18,9150,//player.bilibili.com/player.html?isOutside=true&aid=115394882898254&bvid=BV1J2WxznEea&cid=33204863094&p=1,0.5372852,-0.63857853,999,33204863094,【星尘infinity】天命周兴【忘川风华录】,【星尘infinity】天命周兴【忘川风华录】,27
BV1tvWtziEKt,1,TYC 3181-836-1,70,319.61327752,43.94594383,0.548411791,-0.466515924,0.693979394,5.023,4.948,-0.075,87.61007,-3.841076,0.041606375,0.996885828,-0.06698922,105186,0.7,0.23,803.379,2620.272,4659.377,poor,1436.988,-1222.3985,1818.4147,109.02,2612.1119,-175.53,50775648,2025-10-19,368,//player.bilibili.com/player.html?isOutside=true&aid=115396040523936&bvid=BV1tvWtziEKt&cid=33192019421&p=1,0.5483513,-0.46656042,999,33192019421,【星尘Blues原创】那些杀不死我的它还在追杀我,【星尘Blues原创】那些杀不死我的它还在追杀我,28
BV1VfWZzaEnc,1,TYC 7968-239-1,5,313.41744157,-39.80986309,0.527972174,-0.557974583,-0.640241945,5.484,7.048,1.564,2.298363,-39.756181,0.768154398,0.030830291,-0.639521941,103127,8.15,0.32,122.65,400.03,400.192,good,211.2048,-223.2067,-256.1161,307.285,12.333,-255.8281,1269073406,2025-10-19,2061,//player.bilibili.com/player.html?isOutside=true&aid=115398020235870&bvid=BV1VfWZzaEnc&cid=33198639330&p=1,0.52789795,-0.5580286,999,33198639330,【原创曲/星尘】新空,studio_video_1760832895166,29
BV1aVWhzEE26,1,TYC 1079-3514-1,89,299.0593835,11.42372088,0.476093458,-0.856799862,0.198063163,5.278,5.29,0.012,50.663444,-8.804577,0.626404989,0.764321897,-0.153064779,98103,14.86,0.25,67.309,219.533,219.486,good,104.5184,-188.0961,43.4815,137.5167,167.7941,-33.6028,1783946889,2025-10-18,428,//player.bilibili.com/player.html?isOutside=true&aid=115396191590158&bvid=BV1aVWhzEE26&cid=33193135171&p=1,0.47598064,-0.8568727,999,33193135171,【星尘infinity】EXpres,【星尘infinity】EXpres,30
BV1aaxyz8EXD,1,TYC 1161-1794-1,21,347.50609036,9.82208892,0.962008325,-0.213164829,0.170589385,5.373,5.287,-0.086,85.830175,-45.618057,0.050858204,0.697586657,-0.71469315,114389,4.03,0.31,244.558,797.642,809.321,good,767.3382,-170.0292,136.0693,40.5666,556.4244,-570.0692,26069934,2025-10-09,416,//player.bilibili.com/player.html?isOutside=true&aid=115343594946920&bvid=BV1aaxyz8EXD&cid=32942588589&p=1,0.96224296,-0.21319073,999,32942588589,【星尘翻唱】夜航星,【星尘翻唱】夜航星,31
BV1JjsteAE2u,1,TYC 2685-1920-1,90,307.34889446,30.368555,0.523426996,-0.68588114,0.505560324,4.044,4.484,0.44,70.912906,-5.035659,0.32574289,0.941375053,-0.087775731,101076,4.24,0.16,235.07,766.695,769.237,good,401.3089,-525.8617,387.6106,249.7455,721.7476,-67.2972,355156672,2024-08-27,583,//player.bilibili.com/player.html?isOutside=true&aid=113034378871140&bvid=BV1JjsteAE2u&cid=25607274972&p=1,0.5233488,-0.6859413,999,25607274972,【椰汁杨桃】奢香夫人,【椰汁杨桃】奢香夫人,32
BV12xYqe4Eba,1,TYC 7992-784-1,18,323.34798427,-44.84870126,0.568790757,-0.423223018,-0.705237089,5.68,6.905,1.225,355.164881,-46.992689,0.679664368,-0.057492569,-0.731266676,106429,4.99,0.62,195.657,638.146,653.62,good,362.9718,-270.0782,-450.0445,433.7254,-36.6887,-466.6552,363726013,2024-08-12,220,//player.bilibili.com/player.html?isOutside=true&aid=112949301743536&bvid=BV12xYqe4Eba&cid=500001647209967&p=1,0.56874573,-0.4232638,999,500001647209967,24.8.12 星尘《路过人间》相遇离别贪瞋爱痴怨... cover. 袁娅维,24.8.12 星尘《路过人间》相遇离别贪瞋爱痴怨... cover. 袁娅维,33
BV1jQsgeLEgR,1,TYC 2159-2068-1,90,303.81622768,25.59194889,0.501931498,-0.74931714,0.43195902,4.725,4.538,-0.187,65.187614,-5.170548,0.417940711,0.90399327,-0.090120643,99824,3.29,0.51,283.448,924.483,991.357,good,464.0273,-692.7312,399.3389,386.3792,835.7267,-83.315,223928340,2024-08-28,1170,//player.bilibili.com/player.html?isOutside=true&aid=113040787769386&bvid=BV1jQsgeLEgR&cid=25631720624&p=1,0.50183797,-0.74938166,999,25631720624,【星尘infinity】华沙曲   [普罗列塔利亚的孩子],【星尘infinity】华沙曲   [普罗列塔利亚的孩子],34
BV1SisteJEfd,1,TYC 3171-2186-1,75,314.29342003,41.16715777,0.525699807,-0.53882839,0.658258064,3.932,3.95,0.018,82.90897,-2.82283,0.123296329,0.99114715,-0.049247756,103413,8.71,0.34,114.79,374.395,374.462,good,196.8194,-201.7347,246.4486,46.1615,371.0806,-18.4381,295514534,2024-08-27,1371,//player.bilibili.com/player.html?isOutside=true&aid=113034093790387&bvid=BV1SisteJEfd&cid=25605769765&p=1,0.52562284,-0.538878,999,25605769765,【星尘V4】一颗彗星的往事【VOCALOID COVER】,【星尘V4】一颗彗星的往事【VOCALOID COVER】,35
BV1LusMeTE5p,1,TYC 2761-883-1,15,343.76102781,37.0768261,0.765997455,-0.223107949,0.602885347,5.948,6.37,0.422,98.509595,-20.214257,-0.138860823,0.92807624,-0.345531712,113174,25.63,0.34,39.026,127.284,127.256,good,97.4995,-28.3982,76.7379,-17.6748,118.1296,-43.9808,177783703,2024-08-28,1974,//player.bilibili.com/player.html?isOutside=true&aid=113038338426973&bvid=BV1LusMeTE5p&cid=25617174436&p=1,0.76609147,-0.22313851,999,25617174436,【永夜Minus】我所唾弃的,【永夜Minus原创】我所唾弃的,36
BV1nFsMeVE7o,1,TYC 6914-1943-1,48,303.82246742,-27.03297414,0.49580781,-0.740000981,-0.454503205,5.824,6.86,1.036,15.624536,-29.397453,0.839041138,0.234651851,-0.49086503,99825,112.22,0.3,8.911,29.064,29.064,good,14.4104,-21.5077,-13.2099,24.3862,6.82,-14.2667,223928340,2024-08-28,1339,//player.bilibili.com/player.html?isOutside=true&aid=113038371979954&bvid=BV1nFsMeVE7o&cid=25617632585&p=1,0.49567175,-0.74009454,999,25617632585,【星尘infinity/MAI安德烈·马里】再见宣言,【星尘infinity/MAI安德烈·马里】再见宣言,37
BV1dnsAepEFP,1,TYC 2694-2168-1,81,308.47577649,35.25085332,0.508095724,-0.639318485,0.577157352,4.815,6.625,1.81,75.427696,-2.926175,0.251273503,0.966568987,-0.051049185,101474,1.18,0.41,532.16,1735.674,2764.037,poor,881.8887,-1109.6487,1001.7572,436.129,1677.649,-88.6048,629874452,2024-08-28,371,//player.bilibili.com/player.html?isOutside=true&aid=113036929007991&bvid=BV1dnsAepEFP&cid=25612256140&p=1,0.5080068,-0.6393751,999,25612256140,【星尘infinity】空中分解【すりぃ】,【星尘infinity】空中分解【すりぃ】,38
BV1Vm421j7Ev,1,TYC 2163-1794-1,90,303.94222413,27.81424753,0.493846886,-0.733753052,0.466606591,4.656,6.138,1.482,67.108252,-4.036391,0.388026399,0.91895634,-0.070390047,99874,9.63,0.46,103.862,338.753,338.688,good,167.2921,-248.5611,158.0644,131.4451,311.2992,-23.8448,82632219,2024-04-13,2567,//player.bilibili.com/player.html?isOutside=true&aid=1603139025&bvid=BV1Vm421j7Ev&cid=1503449939&p=1,0.49374914,-0.7338158,999,1503449939,【星界/星尘Infinity】星月夜の調べ/星月夜的探寻【CeVIO/Synthesizer V Cover】,【星界/星尘Infinity】星月夜の調べ/星月夜的探寻【CeVIO/Synthesizer V Cover】,39
BV1nZ421B7X8,1,TYC 2676-1688-1,62,305.96510065,32.19018145,0.497016407,-0.684961383,0.532731259,4.574,6.167,1.593,71.718994,-3.018181,0.313242586,0.948212403,-0.052652834,100587,13.05,0.2,76.639,249.963,249.928,good,124.2356,-171.2148,133.1629,78.299,237.0177,-13.1612,329347512,2024-04-01,1436,//player.bilibili.com/player.html?isOutside=true&aid=1152592056&bvid=BV1nZ421B7X8&cid=1489321190&p=1,0.49691832,-0.6850223,999,1489321190,【星尘Infinity】 世末歌者 【Synthesizer V Cover】,【星尘Infinity】 世末歌者 【Synthesizer V Cover】,40
BV1Um411k758,1,TYC 2162-1675-1,9,303.00291946,26.47880793,0.487544289,-0.750668627,0.445866772,5.885,5.767,-0.118,65.529303,-4.073031,0.413181599,0.907874439,-0.071027942,99531,4.05,0.32,243.197,793.201,805.324,good,386.7207,-595.4312,353.662,327.7361,720.127,-56.3394,382935678,2024-03-26,288,//player.bilibili.com/player.html?isOutside=true&aid=1902306294&bvid=BV1Um411k758&cid=1482459689&p=1,0.4874407,-0.75073314,999,1482459689,永夜Minus【Nier-Weight of the World】,永夜Minus【Nier-Weight of the World】,41
BV18x4y117bo,1,TYC 3605-1371-1,63,331.55110248,45.2486945,0.619013784,-0.335382545,0.710169334,6.19,6.272,0.082,94.908543,-8.443859,-0.084637965,0.985532524,-0.146840253,109121,10.23,0.31,97.769,318.881,318.823,good,197.3918,-106.9471,226.4595,-26.9894,314.2676,-46.8246,3546571348118498,2024-02-09,3003,//player.bilibili.com/player.html?isOutside=true&aid=1000407208&bvid=BV18x4y117bo&cid=1435572177&p=1,0.6190034,-0.3354184,999,1435572177,IF (MORE MORE JUMP VERSION) feat. [GUMI  RIKKA MIKU POPY STARDUST],IF (MORE MORE JUMP VERSION) feat. [GUMI  RIKKA MIKU POPY STARDUST],42
BV1pB421z7LG,1,TYC 1058-3400-1,92,298.56200897,8.46145444,0.472905404,-0.868739959,0.14714402,4.824,6.048,1.224,47.812857,-9.854798,0.661645323,0.730022264,-0.171151864,97938,17.77,0.29,56.289,183.59,183.543,good,86.8208,-159.4922,27.0142,121.4717,134.025,-31.4218,16546166,2024-02-09,1960,//player.bilibili.com/player.html?isOutside=true&aid=1350423729&bvid=BV1pB421z7LG&cid=1435695577&p=1,0.47278762,-0.8688145,999,1435695577,《极星流浪夜》【星尘/永夜】MIDI分享,《极星流浪夜》【星尘/永夜】MIDI分享,43
